Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
ACGC,0.05%,-,-,-,0.15%,-,-,-,-,0.14%,-,275.10K,0.00,9.94,0.00%,0
ACGL,2.12%,-1.09%,1.08%,-2.87%,-1.66%,5.72%,37.00%,152.42%,331.25%,1.99%,1.99%,2.34M,0.67,94.33,-0.62%,"1,562,856"
ACGO,-2.53%,-,-,-,-6.38%,-,-,-,-,0.01%,-,50.90K,0.00,36.76,-0.95%,4
ACGR,-2.93%,-5.81%,9.79%,0.06%,0.25%,13.52%,63.36%,-,-,0.36%,0.45%,0.64K,0.17,66.21,-1.15%,107
ACH,0.32%,14.86%,53.14%,18.28%,13.21%,-59.67%,-82.99%,-92.30%,-91.45%,6.89%,7.96%,810.39K,0.43,3.17,-0.94%,"345,754"
ACHC,11.66%,11.71%,7.94%,81.47%,84.92%,25.31%,-65.35%,-59.98%,-52.65%,4.68%,4.63%,2.82M,1.31,26.24,5.13%,"3,693,487"
ACHR,-10.63%,-26.42%,-13.85%,-42.98%,-36.30%,-51.76%,41.72%,-52.00%,-,5.80%,7.11%,40.16M,0.98,4.79,-5.15%,"39,460,306"
ACHV,6.34%,25.00%,102.13%,27.80%,14.69%,50.00%,-3.55%,-31.74%,-99.72%,11.08%,8.79%,1.62M,2.35,5.70,7.55%,"3,803,133"
ACI,-4.51%,-12.52%,-16.96%,-21.15%,-19.86%,-35.34%,-35.88%,-8.74%,-,3.52%,3.14%,7.11M,0.87,13.76,-2.62%,"6,207,477"
ACIC,2.57%,-0.19%,-5.70%,-11.19%,-9.43%,9.57%,158.84%,104.84%,-27.11%,2.10%,2.37%,238.64K,1.10,10.76,-1.74%,"262,965"
ACII,-1.27%,-1.12%,0.63%,-0.02%,-0.21%,-,-,-,-,1.68%,1.61%,81.33K,2.73,25.57,-0.58%,"221,748"
ACIO,-1.01%,-2.20%,7.79%,4.03%,4.44%,11.56%,48.57%,52.82%,-,0.86%,0.89%,121.32K,1.58,45.64,-0.15%,"191,757"
